title,url,type_bill,year,period
PL 126-24 BUSINTANA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3281-proyecto-de-ley-126-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 125-24 PUBLICIDAD POLITICA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3280-proyecto-de-ley-125-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 124-24 DERECHOS MENSTRUALES,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3279-proyecto-de-ley-124-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 123-24 MOVIMIENTO INSURGENTE DE COMUNEROS,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3278-proyecto-de-ley-123-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 122-24 MULTAS PROPIEDAD HORIZONTAL,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3277-proyecto-de-ley-122-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 121-24 PROTECCIÓN MORADORES,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3276-proyecto-de-ley-121-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 120-24 PANAMAZONÍA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3275-proyecto-de-ley-120-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 119-24 MADRES Y PADRES CUIDADORES,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3274-proyecto-de-ley-119-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 118-24 SISTEMA INFORMACIÓN PROCESOS PENALES,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3273-proyecto-de-ley-118-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 115-24 PROFESIONAL DE GERONTOLOGÍA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3271-proyecto-de-ley-115-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 114-24 FACTOR SALARIAL RAMA JUDICIAL,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3270-proyecto-de-ley-114-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 113-24 ESTUDIANTES FALLECIDOS ESCUELA CADETES,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3269-proyecto-de-ley-113-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 112-24 DERECHOS TRABAJADORES Y EDUCADORES PROVISIONALES,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3268-proyecto-de-ley-112-de-2024,Proyecto de ley,2024-2025,2022 - 2026
